[SYNCPILOT | CPU  5] Layer 6 memproses Frame  19 | Waktu: 0.03133 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  21 | Waktu: 0.12525 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  20 | Waktu: 0.06312 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  21 | Waktu: 0.03259 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  18 | Waktu: 0.11550 detik
[SYNCPILOT | CPU  0] Layer 7 memproses Frame  13 | Waktu: 0.39466 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  21 | Waktu: 0.02936 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  19 | Waktu: 0.12624 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  21 | Waktu: 0.02761 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  21 | Waktu: 0.02374 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  20 | Waktu: 0.11234 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  18 | Waktu: 0.15273 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame  22 | Waktu: 0.01395 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  21 | Waktu: 0.09440 detik
[SYNCPILOT | CPU  1] Layer 8 memproses Frame   2 | Waktu: 1.29601 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  19 | Waktu: 0.15094 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  24 | Waktu: 0.01532 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  20 | Waktu: 0.15525 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  22 | Waktu: 0.08629 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame  25 | Waktu: 0.01552 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  22 | Waktu: 0.02822 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  22 | Waktu: 0.02782 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  24 | Waktu: 0.09525 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  21 | Waktu: 0.15364 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  22 | Waktu: 0.02965 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  24 | Waktu: 0.02913 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  26 | Waktu: 0.01541 detik
[SYNCPILOT | CPU  1] Layer 1 memproses Frame  23 | Waktu: 0.17776 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  25 | Waktu: 0.10191 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  22 | Waktu: 0.03014 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  24 | Waktu: 0.03175 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  25 | Waktu: 0.03460 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame  24 | Waktu: 0.03541 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  25 | Waktu: 0.03449 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame  24 | Waktu: 0.03471 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  26 | Waktu: 0.12129 detik
[SYNCPILOT | CPU  3] Layer 8 memproses Frame   3 | Waktu: 1.17866 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  25 | Waktu: 0.03633 detik
[SYNCPILOT | CPU  2] Layer 8 memproses Frame   5 | Waktu: 1.18762 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  22 | Waktu: 0.12865 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  26 | Waktu: 0.03624 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  25 | Waktu: 0.03921 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  26 | Waktu: 0.03246 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  26 | Waktu: 0.03393 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  24 | Waktu: 0.14370 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  26 | Waktu: 0.03192 detik
[SYNCPILOT | CPU  3] Layer 1 memproses Frame  27 | Waktu: 0.16531 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  25 | Waktu: 0.12214 detik
[SYNCPILOT | CPU  2] Layer 1 memproses Frame  28 | Waktu: 0.16333 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  22 | Waktu: 0.16255 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame  29 | Waktu: 0.01564 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  26 | Waktu: 0.16584 detik
[SYNCPILOT | CPU  1] Layer 2 memproses Frame  23 | Waktu: 0.40934 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  24 | Waktu: 0.19104 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  30 | Waktu: 0.01711 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  29 | Waktu: 0.13440 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  25 | Waktu: 0.17731 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame  31 | Waktu: 0.01733 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  29 | Waktu: 0.03720 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  29 | Waktu: 0.03621 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  29 | Waktu: 0.03646 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  26 | Waktu: 0.18126 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  30 | Waktu: 0.15370 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  29 | Waktu: 0.03684 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  32 | Waktu: 0.01811 detik
[SYNCPILOT | CPU  1] Layer 3 memproses Frame  23 | Waktu: 0.20304 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  31 | Waktu: 0.15348 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  30 | Waktu: 0.04141 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  31 | Waktu: 0.04303 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  30 | Waktu: 0.04147 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  31 | Waktu: 0.03990 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame  30 | Waktu: 0.04104 detik
[SYNCPILOT | CPU  3] Layer 2 memproses Frame  27 | Waktu: 0.44307 detik
[SYNCPILOT | CPU  2] Layer 2 memproses Frame  28 | Waktu: 0.43832 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  31 | Waktu: 0.03687 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame  30 | Waktu: 0.03797 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  29 | Waktu: 0.15510 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  32 | Waktu: 0.15903 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  31 | Waktu: 0.03387 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  32 | Waktu: 0.03283 detik
[SYNCPILOT | CPU  1] Layer 4 memproses Frame  23 | Waktu: 0.19451 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  32 | Waktu: 0.03518 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  32 | Waktu: 0.03589 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  30 | Waktu: 0.13861 detik
[SYNCPILOT | CPU  3] Layer 3 memproses Frame  27 | Waktu: 0.18632 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  32 | Waktu: 0.03509 detik
[SYNCPILOT | CPU  0] Layer 8 memproses Frame  13 | Waktu: 1.24958 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  31 | Waktu: 0.13138 detik
[SYNCPILOT | CPU  2] Layer 3 memproses Frame  28 | Waktu: 0.18634 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  29 | Waktu: 0.17051 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame  34 | Waktu: 0.01546 detik
[SYNCPILOT | CPU  1] Layer 5 memproses Frame  23 | Waktu: 0.19198 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  32 | Waktu: 0.13381 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  34 | Waktu: 0.11735 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  30 | Waktu: 0.18730 detik
[SYNCPILOT | CPU  0] Layer 1 memproses Frame  33 | Waktu: 0.17185 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  34 | Waktu: 0.03077 detik
[SYNCPILOT | CPU  3] Layer 4 memproses Frame  27 | Waktu: 0.19267 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  31 | Waktu: 0.18546 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  35 | Waktu: 0.01700 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame  36 | Waktu: 0.01722 detik
[SYNCPILOT | CPU  2] Layer 4 memproses Frame  28 | Waktu: 0.19361 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  34 | Waktu: 0.03689 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  34 | Waktu: 0.03757 detik
[SYNCPILOT | CPU  1] Layer 6 memproses Frame  23 | Waktu: 0.19687 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  34 | Waktu: 0.03770 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  32 | Waktu: 0.18241 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  37 | Waktu: 0.01863 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  35 | Waktu: 0.16765 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  36 | Waktu: 0.17076 detik
[SYNCPILOT | CPU  3] Layer 5 memproses Frame  27 | Waktu: 0.20717 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  35 | Waktu: 0.04673 detik
[SYNCPILOT | CPU  2] Layer 5 memproses Frame  28 | Waktu: 0.20609 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  36 | Waktu: 0.04565 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  35 | Waktu: 0.04461 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  36 | Waktu: 0.04227 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  34 | Waktu: 0.17943 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame  35 | Waktu: 0.04444 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  36 | Waktu: 0.04097 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  37 | Waktu: 0.18804 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame  35 | Waktu: 0.03933 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  36 | Waktu: 0.04302 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  37 | Waktu: 0.03977 detik
[SYNCPILOT | CPU  3] Layer 6 memproses Frame  27 | Waktu: 0.20025 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  37 | Waktu: 0.04339 detik
[SYNCPILOT | CPU  0] Layer 2 memproses Frame  33 | Waktu: 0.43545 detik
