Bobot & bias berhasil dimuat.
Menjalankan 8 worker thread (dynamic load balancing)...
[Worker 5 | CPU  0] Layer 6 memproses Frame  17 | Waktu: 0.00776 detik
[Worker 1 | CPU  0] Layer 4 memproses Frame  18 | Waktu: 0.00598 detik
[Worker 7 | CPU  0] Layer 1 memproses Frame  24 | Waktu: 0.00441 detik
[Worker 3 | CPU  0] Layer 4 memproses Frame  20 | Waktu: 0.00321 detik
[Worker 4 | CPU  0] Layer 3 memproses Frame  19 | Waktu: 0.00553 detik
[Worker 2 | CPU  0] Layer 1 memproses Frame  23 | Waktu: 0.00637 detik
[Worker 1 | CPU  0] Layer 5 memproses Frame  18 | Waktu: 0.00315 detik
[Worker 0 | CPU  0] Layer 2 memproses Frame  21 | Waktu: 0.01697 detik
[Worker 1 | CPU  0] Layer 6 memproses Frame  18 | Waktu: 0.00317 detik
[Worker 3 | CPU  0] Layer 5 memproses Frame  20 | Waktu: 0.00506 detik
[Worker 6 | CPU  0] Layer 2 memproses Frame  22 | Waktu: 0.01277 detik
[Worker 0 | CPU  0] Layer 3 memproses Frame  21 | Waktu: 0.00323 detik
[Worker 3 | CPU  0] Layer 6 memproses Frame  20 | Waktu: 0.00319 detik
[Worker 4 | CPU  0] Layer 4 memproses Frame  19 | Waktu: 0.00859 detik
[Worker 0 | CPU  0] Layer 4 memproses Frame  21 | Waktu: 0.00323 detik
[Worker 6 | CPU  0] Layer 3 memproses Frame  22 | Waktu: 0.00680 detik
[Worker 7 | CPU  0] Layer 2 memproses Frame  24 | Waktu: 0.01337 detik
[Worker 0 | CPU  0] Layer 5 memproses Frame  21 | Waktu: 0.00328 detik
[Worker 5 | CPU  0] Layer 7 memproses Frame  17 | Waktu: 0.01778 detik
[Worker 4 | CPU  0] Layer 5 memproses Frame  19 | Waktu: 0.00545 detik
[Worker 1 | CPU  0] Layer 7 memproses Frame  18 | Waktu: 0.01179 detik
[Worker 2 | CPU  0] Layer 2 memproses Frame  23 | Waktu: 0.01618 detik
[Worker 7 | CPU  0] Layer 3 memproses Frame  24 | Waktu: 0.00558 detik
[Worker 4 | CPU  0] Layer 6 memproses Frame  19 | Waktu: 0.00325 detik
[Worker 0 | CPU  0] Layer 6 memproses Frame  21 | Waktu: 0.00587 detik
[Worker 6 | CPU  0] Layer 4 memproses Frame  22 | Waktu: 0.00836 detik
[Worker 3 | CPU  0] Layer 7 memproses Frame  20 | Waktu: 0.01314 detik
[Worker 2 | CPU  0] Layer 3 memproses Frame  23 | Waktu: 0.00367 detik
[Worker 2 | CPU  0] Layer 4 memproses Frame  23 | Waktu: 0.00309 detik
[Worker 6 | CPU  0] Layer 5 memproses Frame  22 | Waktu: 0.00471 detik
[Worker 7 | CPU  0] Layer 4 memproses Frame  24 | Waktu: 0.00822 detik
[Worker 2 | CPU  0] Layer 5 memproses Frame  23 | Waktu: 0.00306 detik
[Worker 6 | CPU  0] Layer 6 memproses Frame  22 | Waktu: 0.00305 detik
[Worker 2 | CPU  0] Layer 6 memproses Frame  23 | Waktu: 0.00303 detik
[Worker 0 | CPU  0] Layer 7 memproses Frame  21 | Waktu: 0.01477 detik
[Worker 4 | CPU  0] Layer 7 memproses Frame  19 | Waktu: 0.01563 detik
[Worker 7 | CPU  0] Layer 5 memproses Frame  24 | Waktu: 0.00805 detik
[Worker 6 | CPU  0] Layer 7 memproses Frame  22 | Waktu: 0.01037 detik
[Worker 2 | CPU  0] Layer 7 memproses Frame  23 | Waktu: 0.01090 detik
[Worker 7 | CPU  0] Layer 6 memproses Frame  24 | Waktu: 0.00761 detik
[Worker 5 | CPU  0] Layer 8 memproses Frame  17 | Waktu: 0.03902 detik
Frame 17 selesai diproses.
[Worker 3 | CPU  0] Layer 8 memproses Frame  20 | Waktu: 0.03411 detik
[Worker 1 | CPU  0] Layer 8 memproses Frame  18 | Waktu: 0.03896 detik
Frame 18 selesai diproses.
[Worker 7 | CPU  0] Layer 7 memproses Frame  24 | Waktu: 0.01420 detik
[Worker 5 | CPU  0] Layer 1 memproses Frame  25 | Waktu: 0.00435 detik
[Worker 1 | CPU  0] Layer 1 memproses Frame  27 | Waktu: 0.00313 detik
[Worker 3 | CPU  0] Layer 1 memproses Frame  26 | Waktu: 0.00944 detik
[Worker 0 | CPU  0] Layer 8 memproses Frame  21 | Waktu: 0.03501 detik
[Worker 1 | CPU  0] Layer 2 memproses Frame  27 | Waktu: 0.01137 detik
[Worker 4 | CPU  0] Layer 8 memproses Frame  19 | Waktu: 0.03700 detik
Frame 19 selesai diproses.
Frame 20 selesai diproses.
Frame 21 selesai diproses.
[Worker 1 | CPU  0] Layer 3 memproses Frame  27 | Waktu: 0.00367 detik
[Worker 5 | CPU  0] Layer 2 memproses Frame  25 | Waktu: 0.01594 detik
[Worker 4 | CPU  0] Layer 1 memproses Frame  29 | Waktu: 0.00406 detik
[Worker 3 | CPU  0] Layer 2 memproses Frame  26 | Waktu: 0.01161 detik
[Worker 0 | CPU  0] Layer 1 memproses Frame  28 | Waktu: 0.00817 detik
[Worker 5 | CPU  0] Layer 3 memproses Frame  25 | Waktu: 0.00312 detik
[Worker 3 | CPU  0] Layer 3 memproses Frame  26 | Waktu: 0.00311 detik
[Worker 2 | CPU  0] Layer 8 memproses Frame  23 | Waktu: 0.03902 detik
[Worker 5 | CPU  0] Layer 4 memproses Frame  25 | Waktu: 0.00307 detik
[Worker 1 | CPU  0] Layer 4 memproses Frame  27 | Waktu: 0.00818 detik
[Worker 3 | CPU  0] Layer 4 memproses Frame  26 | Waktu: 0.00423 detik
[Worker 5 | CPU  0] Layer 5 memproses Frame  25 | Waktu: 0.00407 detik
[Worker 6 | CPU  0] Layer 8 memproses Frame  22 | Waktu: 0.04642 detik
Frame 22 selesai diproses.
Frame 23 selesai diproses.
[Worker 4 | CPU  0] Layer 2 memproses Frame  29 | Waktu: 0.01032 detik
[Worker 2 | CPU  0] Layer 1 memproses Frame  30 | Waktu: 0.00621 detik
[Worker 3 | CPU  0] Layer 5 memproses Frame  26 | Waktu: 0.00323 detik
[Worker 1 | CPU  0] Layer 5 memproses Frame  27 | Waktu: 0.00558 detik
[Worker 6 | CPU  0] Layer 1 memproses Frame  31 | Waktu: 0.00386 detik
[Worker 3 | CPU  0] Layer 6 memproses Frame  26 | Waktu: 0.00310 detik
[Worker 7 | CPU  0] Layer 8 memproses Frame  24 | Waktu: 0.03565 detik
Frame 24 selesai diproses.
[Worker 5 | CPU  0] Layer 6 memproses Frame  25 | Waktu: 0.00808 detik
[Worker 4 | CPU  0] Layer 3 memproses Frame  29 | Waktu: 0.00805 detik
[Worker 0 | CPU  0] Layer 2 memproses Frame  28 | Waktu: 0.01694 detik
[Worker 1 | CPU  0] Layer 6 memproses Frame  27 | Waktu: 0.00692 detik
[Worker 7 | CPU  0] Layer 1 memproses Frame  32 | Waktu: 0.00468 detik
[Worker 0 | CPU  0] Layer 3 memproses Frame  28 | Waktu: 0.00321 detik
[Worker 4 | CPU  0] Layer 4 memproses Frame  29 | Waktu: 0.00439 detik
[Worker 2 | CPU  0] Layer 2 memproses Frame  30 | Waktu: 0.01393 detik
[Worker 3 | CPU  0] Layer 7 memproses Frame  26 | Waktu: 0.01191 detik
[Worker 4 | CPU  0] Layer 5 memproses Frame  29 | Waktu: 0.00379 detik
[Worker 6 | CPU  0] Layer 2 memproses Frame  31 | Waktu: 0.01359 detik
[Worker 0 | CPU  0] Layer 4 memproses Frame  28 | Waktu: 0.00521 detik
[Worker 4 | CPU  0] Layer 6 memproses Frame  29 | Waktu: 0.00339 detik
[Worker 6 | CPU  0] Layer 3 memproses Frame  31 | Waktu: 0.00344 detik
[Worker 0 | CPU  0] Layer 5 memproses Frame  28 | Waktu: 0.00361 detik
[Worker 5 | CPU  0] Layer 7 memproses Frame  25 | Waktu: 0.01424 detik
