[Worker 0 | CPU  0] Layer 6 memproses Frame  19 | Waktu: 0.00672 detik
[Worker 1 | CPU  1] Layer 5 memproses Frame  20 | Waktu: 0.00312 detik
[Worker 7 | CPU  7] Layer 6 memproses Frame  21 | Waktu: 0.00620 detik
[Worker 6 | CPU  6] Layer 4 memproses Frame  22 | Waktu: 0.00311 detik
[Worker 4 | CPU  4] Layer 6 memproses Frame  17 | Waktu: 0.00311 detik
[Worker 3 | CPU  3] Layer 4 memproses Frame  24 | Waktu: 0.00703 detik
[Worker 1 | CPU  1] Layer 6 memproses Frame  20 | Waktu: 0.00312 detik
[Worker 6 | CPU  6] Layer 5 memproses Frame  22 | Waktu: 0.00314 detik
[Worker 2 | CPU  2] Layer 3 memproses Frame  23 | Waktu: 0.00669 detik
[Worker 3 | CPU  3] Layer 5 memproses Frame  24 | Waktu: 0.00577 detik
[Worker 6 | CPU  6] Layer 6 memproses Frame  22 | Waktu: 0.00607 detik
[Worker 3 | CPU  3] Layer 6 memproses Frame  24 | Waktu: 0.00311 detik
[Worker 2 | CPU  2] Layer 4 memproses Frame  23 | Waktu: 0.00652 detik
[Worker 4 | CPU  4] Layer 7 memproses Frame  17 | Waktu: 0.01052 detik
[Worker 0 | CPU  0] Layer 7 memproses Frame  19 | Waktu: 0.01469 detik
[Worker 7 | CPU  7] Layer 7 memproses Frame  21 | Waktu: 0.01384 detik
[Worker 2 | CPU  2] Layer 5 memproses Frame  23 | Waktu: 0.00767 detik
[Worker 1 | CPU  1] Layer 7 memproses Frame  20 | Waktu: 0.01930 detik
[Worker 2 | CPU  2] Layer 6 memproses Frame  23 | Waktu: 0.00297 detik
[Worker 3 | CPU  3] Layer 7 memproses Frame  24 | Waktu: 0.01369 detik
[Worker 6 | CPU  6] Layer 7 memproses Frame  22 | Waktu: 0.01884 detik
[Worker 5 | CPU  5] Layer 8 memproses Frame  18 | Waktu: 0.03562 detik
[Worker 2 | CPU  2] Layer 7 memproses Frame  23 | Waktu: 0.01491 detik
[Worker 5 | CPU  5] Layer 1 memproses Frame  25 | Waktu: 0.00782 detik
[Worker 4 | CPU  4] Layer 8 memproses Frame  17 | Waktu: 0.03239 detik
[Worker 5 | CPU  5] Layer 2 memproses Frame  25 | Waktu: 0.01079 detik
[Worker 7 | CPU  7] Layer 8 memproses Frame  21 | Waktu: 0.03811 detik
[Worker 0 | CPU  0] Layer 8 memproses Frame  19 | Waktu: 0.03927 detik
[Worker 4 | CPU  4] Layer 1 memproses Frame  26 | Waktu: 0.00874 detik
[Worker 7 | CPU  7] Layer 1 memproses Frame  27 | Waktu: 0.00318 detik
[Worker 0 | CPU  0] Layer 1 memproses Frame  28 | Waktu: 0.00318 detik
[Worker 5 | CPU  5] Layer 3 memproses Frame  25 | Waktu: 0.00804 detik
[Worker 3 | CPU  3] Layer 8 memproses Frame  24 | Waktu: 0.03625 detik
[Worker 6 | CPU  6] Layer 8 memproses Frame  22 | Waktu: 0.03174 detik
[Worker 5 | CPU  5] Layer 4 memproses Frame  25 | Waktu: 0.00328 detik
[Worker 5 | CPU  5] Layer 5 memproses Frame  25 | Waktu: 0.00323 detik
[Worker 6 | CPU  6] Layer 1 memproses Frame  30 | Waktu: 0.00480 detik
[Worker 2 | CPU  2] Layer 8 memproses Frame  23 | Waktu: 0.02894 detik
[Worker 1 | CPU  1] Layer 8 memproses Frame  20 | Waktu: 0.04422 detik
