[SYNCPILOT | CPU  5] Layer 5 memproses Frame  13 | Waktu: 0.01963 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  14 | Waktu: 0.02123 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  15 | Waktu: 0.02216 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame  13 | Waktu: 0.02101 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  14 | Waktu: 0.02307 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  15 | Waktu: 0.02449 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  15 | Waktu: 0.02547 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame   5 | Waktu: 0.14110 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  15 | Waktu: 0.02576 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  16 | Waktu: 0.01531 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  13 | Waktu: 0.07421 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  14 | Waktu: 0.07809 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  15 | Waktu: 0.07546 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  16 | Waktu: 0.06503 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  16 | Waktu: 0.02071 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  16 | Waktu: 0.01877 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  16 | Waktu: 0.01865 detik
[SYNCPILOT | CPU  0] Layer 8 memproses Frame   6 | Waktu: 0.82860 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  13 | Waktu: 0.14138 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  16 | Waktu: 0.01915 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  18 | Waktu: 0.01373 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  14 | Waktu: 0.17125 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame  19 | Waktu: 0.01823 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  16 | Waktu: 0.06955 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  18 | Waktu: 0.06473 detik
[SYNCPILOT | CPU  0] Layer 1 memproses Frame  17 | Waktu: 0.10421 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  15 | Waktu: 0.17459 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  18 | Waktu: 0.02215 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame  20 | Waktu: 0.01887 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  18 | Waktu: 0.02405 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  19 | Waktu: 0.07182 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame  18 | Waktu: 0.02514 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  19 | Waktu: 0.02734 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame  18 | Waktu: 0.02492 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  19 | Waktu: 0.02731 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  20 | Waktu: 0.08071 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  19 | Waktu: 0.02708 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  16 | Waktu: 0.15011 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  20 | Waktu: 0.02705 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  21 | Waktu: 0.01509 detik
[SYNCPILOT | CPU  1] Layer 8 memproses Frame   3 | Waktu: 0.79539 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  19 | Waktu: 0.02701 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  20 | Waktu: 0.02926 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  18 | Waktu: 0.09077 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  20 | Waktu: 0.03005 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  12 | Waktu: 0.64708 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  20 | Waktu: 0.02930 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  21 | Waktu: 0.09805 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  19 | Waktu: 0.09477 detik
[SYNCPILOT | CPU  0] Layer 2 memproses Frame  17 | Waktu: 0.25547 detik
[SYNCPILOT | CPU  1] Layer 1 memproses Frame  22 | Waktu: 0.10924 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  21 | Waktu: 0.02510 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  17 | Waktu: 0.02722 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  21 | Waktu: 0.02592 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  17 | Waktu: 0.02659 detik
[SYNCPILOT | CPU  3] Layer 1 memproses Frame  23 | Waktu: 0.10522 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  20 | Waktu: 0.09124 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  21 | Waktu: 0.02539 detik
